col_s,row_s,proportion_lichen
4,30,
5,30,
6,30,0.7043589342989219
7,30,0.7833636726290643
8,30,0.5123321212899321
9,30,0.0680822966770447
10,30,0.4480831220281628
11,30,0.7619091288418949
12,30,0.8415325853206719
13,30,0.9804431537252667
14,30,0.4404669653214972
15,30,0.7831894318374608
16,30,0.8127736841381271
17,30,0.8760139209221923
18,30,0.8649175336674477
19,30,0.7691859745333327
20,30,0.8399702235987171
21,30,0.8971429095461028
22,30,0.7292848332561477
23,30,0.7374649798935297
24,30,0.8759038741064428
25,30,0.8770410245358546
26,30,0.7733035595559611
27,30,0.7312312174320611
28,30,0.9041583940501355
29,30,1.0
30,30,1.0
31,30,0.967132684362806
32,30,0.9906093383893732
33,30,
34,30,
35,30,
36,30,
37,30,
0,31,
1,31,
2,31,
3,31,
4,31,
5,31,
6,31,0.9952945933775078
7,31,0.7449848456364145
8,31,0.7516472632732508
9,31,0.23183195851235047
10,31,0.37878113980989414
11,31,0.5054725364415446
12,31,0.661202536579103
13,31,0.9051566477653914
14,31,0.8334624854990393
15,31,0.8478419360903118
16,31,0.9099083401730487
17,31,0.9470307993525579
18,31,0.9630242699081568
19,31,0.8182760249256038
20,31,0.8424424001249874
21,31,0.8680905501882259
22,31,0.8201101385214293
23,31,0.8237783657130804
24,31,0.9238476035013229
25,31,0.934265368725612
26,31,0.9286896633943024
27,31,0.8204593285605316
28,31,0.8974363677214349
29,31,1.0
30,31,0.9953046691946865
31,31,0.9953046691946865
32,31,0.9986794382110056
33,31,
34,31,
35,31,
36,31,
37,31,
0,32,
1,32,
2,32,
3,32,
4,32,
5,32,0.40430283049580673
6,32,0.7841164955748959
7,32,0.6428614006208474
8,32,0.8441003443548276
9,32,0.7089628546144006
10,32,0.7080595536684564
11,32,0.6409860194691158
12,32,0.45584600782249446
13,32,0.9579454283114759
14,32,0.8758671918345263
15,32,0.8280335092553958
16,32,0.9486448193168844
17,32,0.9760831587104347
18,32,0.9266354561669777
19,32,0.9264153625354786
20,32,0.9318451259523394
21,32,0.727083896941157
22,32,0.36629999679030123
23,32,0.9015218557561363
24,32,0.9845934457950654
25,32,0.9854738203210616
26,32,0.9718280151681195
27,32,0.9150085928812345
28,32,0.9694803497654627
29,32,1.0
30,32,1.0
31,32,1.0
32,32,
33,32,
34,32,
35,32,
36,32,
37,32,
0,33,
1,33,
2,33,
3,33,
4,33,
5,33,0.5644971556184577
6,33,0.8806618283630201
7,33,0.7947266360937773
8,33,0.7607594820376616
9,33,0.5894532721875546
10,33,0.41662607640771615
11,33,0.5355938278299069
12,33,0.7426179338485999
13,33,0.9737700086573707
14,33,0.9572102085267115
15,33,0.894422438907831
16,33,0.9600040437088162
17,33,0.7122349762432107
18,33,0.9369181424672138
19,33,0.6592991517401733
20,33,0.8072537714822524
21,33,0.8469272408120503
22,33,0.7686768800948434
23,33,0.8125419305033499
24,33,0.958974736010146
25,33,0.9486816590234444
26,33,0.9969120769039895
27,33,0.9083423898027224
28,33,1.0
29,33,1.0
30,33,1.0
31,33,1.0
32,33,
33,33,
34,33,
35,33,
36,33,
37,33,
0,34,
1,34,
2,34,
3,34,
4,34,
5,34,0.6791860203861726
6,34,0.22937938259918575
7,34,0.6799471775284402
8,34,0.865009239347239
9,34,0.5636276932811833
10,34,0.657827767562784
11,34,0.7288538165611287
12,34,0.9492225650995695
13,34,0.9219196588580199
14,34,0.9812186767787463
15,34,0.9514326719825392
16,34,0.9906093383893732
17,34,0.7909110500758865
18,34,0.85532511956128
19,34,0.8020257784665893
20,34,0.8628815101414379
21,34,0.9053964207273177
22,34,0.7909477323478029
23,34,0.88676182659373
24,34,0.8795354190261774
25,34,0.9549541700865243
26,34,0.9612268385842477
27,34,0.9995956291183796
28,34,1.0
29,34,1.0
30,34,1.0
31,34,0.9993030368335862
32,34,
33,34,
34,34,
35,34,
36,34,
37,34,
0,35,
1,35,
2,35,
3,35,
4,35,
5,35,
6,35,0.2463353888853149
7,35,0.6180687700892755
8,35,0.9094681529100505
9,35,0.697151163057284
10,35,0.9074139456827258
11,35,0.6967109757942859
12,35,0.8812961680781699
13,35,0.9964709450331308
14,35,1.0
15,35,0.8732260682565375
16,35,0.8042633970534965
17,35,0.5825557455901031
18,35,0.8641288648212427
19,35,0.9887385425216311
20,35,0.9716940382865703
21,35,0.9023884744301638
22,35,0.8781781749652665
23,35,0.7554209519966619
24,35,0.8595252396957206
25,35,0.9196383127989032
26,35,0.6538569116278217
27,35,0.997169403828657
28,35,1.0
29,35,1.0
30,35,1.0
31,35,
32,35,
33,35,
34,35,
35,35,
36,35,
37,35,
0,36,
1,36,
2,36,
3,36,
4,36,
5,36,
6,36,0.5128617511097223
7,36,0.9282815731192311
8,36,1.0
9,36,0.964051373521819
10,36,0.8177624731187726
11,36,0.62496045192559
12,36,0.6371389662018717
13,36,0.7706114271535047
14,36,0.756429714474366
15,36,0.8724924228182073
16,36,0.8302344455703864
17,36,1.0
18,36,0.9288363924819684
19,36,1.0
20,36,0.9811783735100311
21,36,0.9483513611415523
22,36,0.9658121225738117
23,36,0.8683289849556832
24,36,0.8520053739528358
25,36,0.988802736497485
26,36,0.7878755920747952
27,36,1.0
28,36,1.0
29,36,1.0
30,36,0.9201793763096717
31,36,
32,36,
33,36,
34,36,
35,36,
36,36,
37,36,
0,37,
1,37,
2,37,
3,37,
4,37,
5,37,
6,37,0.5646120337098272
7,37,0.8663298011362334
8,37,1.0
9,37,1.0
10,37,0.9762298877981008
11,37,0.776384870396948
12,37,0.8237783657130804
13,37,0.990001010927204
14,37,0.44404348683335704
15,37,0.5449701727276479
16,37,0.9089041629793341
17,37,0.7260567933274947
18,37,0.9200326472220057
19,37,1.0
20,37,0.9529459337750779
21,37,0.9821449041446382
22,37,0.8941624749528863
23,37,0.9220868544493304
24,37,0.717106318979866
25,37,0.8559120359119442
26,37,0.9906093383893732
27,37,0.8621876464695665
28,37,0.9868264790979829
29,37,1.0
30,37,
31,37,
32,37,
33,37,
34,37,
35,37,
36,37,
37,37,
0,38,
1,38,
2,38,
3,38,
4,38,
5,38,
6,38,0.8256242475485015
7,38,0.8638170655099524
8,38,0.967132684362806
9,38,0.9294966733764656
10,38,0.8477685715464788
11,38,1.0
