col_s,row_s,proportion_lichen
7,31,0.7187203389441925
8,31,0.6844453411222025
9,31,0.20556745182012848
10,31,0.2908170517541004
11,31,0.4423056642013123
12,31,0.6321501772212262
13,31,0.9042743840236741
14,31,0.8669167174868976
15,31,0.8636886775582445
16,31,0.9005176785624217
17,31,0.970507453379125
18,31,0.9674261425381381
19,31,0.8509966114751317
20,31,0.8537647848103592
21,31,0.8247962987587636
22,31,0.7452874743797258
23,31,0.8035297516151663
24,31,0.8999307622117576
25,31,0.9060933838937315
26,31,0.9094681529100505
27,31,0.7692880315409287
28,31,0.7719829977669667
29,31,0.9812186767787463
30,31,0.5540903025828905
31,31,0.3753330062497421
32,31,0.15846741467932818
33,31,
34,31,
35,31,
36,31,
37,31,
0,32,
1,32,
2,32,
3,32,
4,32,
5,32,0.18574985441723332
6,32,0.7380871419249893
7,32,0.5404765944178753
8,32,0.8328480574444378
9,32,0.6705381747818551
10,32,0.687425775715419
11,32,0.5939593468721486
12,32,0.4272338357276158
13,32,0.9672091975995074
14,32,0.8833503753054945
15,32,0.8049282632319833
16,32,0.9475397658753995
17,32,0.9718280151681195
18,32,0.9219401253616643
19,32,0.9217200317301653
20,32,0.9196404775252502
21,32,0.664724034683088
22,32,0.2517045793231204
23,32,0.8484059260210282
24,32,0.9625840826451586
25,32,0.9690401625024646
26,32,0.937493408654265
27,32,0.8407513946200292
28,32,0.8591400758405972
29,32,0.8228979911870842
30,32,0.6343511135362169
31,32,0.20454034820646616
32,32,
33,32,
34,32,
35,32,
36,32,
37,32,
0,33,
1,33,
2,33,
3,33,
4,33,
5,33,0.3364319783845383
6,33,0.8275433329035348
7,33,0.7208784038378473
8,33,0.7051309150729246
9,33,0.5407633419415316
10,33,0.3684140390217901
11,33,0.49309812427052413
12,33,0.710121219362013
13,33,0.9768645581977933
14,33,0.9760318350166803
15,33,0.9039021790076371
16,33,0.9697870619698377
17,33,0.6804734815413883
18,33,0.921772614901067
19,33,0.5709257336114915
20,33,0.793844056807088
21,33,0.773993438163421
22,33,0.776617253770299
23,33,0.8223938756191929
24,33,0.9353006589407321
25,33,0.95765134039757
26,33,0.981325417466984
27,33,0.8788704894177458
28,33,0.9773552306292562
29,33,0.9750025273180102
30,33,0.8428100100173695
31,33,0.16204244056207553
32,33,
33,33,
34,33,
35,33,
36,33,
37,33,
0,34,
1,34,
2,34,
3,34,
4,34,
5,34,0.5443419888210776
6,34,0.15997463491742564
7,34,0.6449522901200886
8,34,0.8267863120102343
9,34,0.5155005525267208
